num_citations,title,authors,year,url
12,Real-time anomaly detection and localization in crowded scenes,M Sabokrou et al.,2015,http://www.cv-foundation.org/openaccess/content_cvpr_workshops_2015/W04/html/Sabokrou_Real-Time_Anomaly_Detection_2015_CVPR_paper.html
12,Sparse autoencoders for word decoding from magnetoencephalography,A Fyshe,2013,https://sites.google.com/site/mlininips2013/proceedings-of-mlini-2012-1/Paper%2020.pdf
11,Tutorial on deep learning and applications,H Lee,2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.294.3538&rep=rep1&type=pdf
11,Novel segmented stacked autoencoder for effective dimensionality reduction and feature extraction in hyperspectral imaging,J Zabalza & J Ren,2016,http://www.sciencedirect.com/science/article/pii/S0925231215017798
11,Using autoencoders for mammogram compression,C Eswaran,2011,http://link.springer.com/article/10.1007/s10916-009-9340-3
11,Robust feature learning by stacked autoencoder with maximum correntropy criterion,Z Wu,2014,http://ieeexplore.ieee.org/abstract/document/6854900/
11,Fusing heterogeneous features from stacked sparse autoencoder for histopathological image analysis,H Dou et al.,2016,http://ieeexplore.ieee.org/abstract/document/7172448/
11,Representation learning for contextual object and region detection in remote sensing,O Firat et al.,2014,http://ieeexplore.ieee.org/abstract/document/6977349/
11,Deep embedding network for clustering,Y Huang,2014,http://ieeexplore.ieee.org/abstract/document/6976982/
11,High-resolution remote-sensing imagery retrieval using sparse features by auto-encoder,W Zhou,2015,http://www.tandfonline.com/doi/abs/10.1080/2150704X.2015.1074756
11,Visualization of driving behavior using deep sparse autoencoder,HL Liu & T Taniguchi,2014,http://ieeexplore.ieee.org/abstract/document/6856506/
11,Auto-associative neural network system for recognition,,2007,http://ieeexplore.ieee.org/abstract/document/4370640/
11,Exploring multi-channel features for denoising-autoencoder-based speech enhancement,T Hayashi & M Delcroix,2015,http://ieeexplore.ieee.org/abstract/document/7177943/
11,Viewpoint independent face recognition by competition of the viewpoint dependent classifiers,T Kurita & T Takahashi,2003,http://www.sciencedirect.com/science/article/pii/S092523120200615X
11,Closing the gap: Domain adaptation from explicit to implicit discourse relations,Y Ji et al.,2015,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.696.8135
11,Spectral–spatial classification of hyperspectral image based on deep auto-encoder,X Ma,2016,http://ieeexplore.ieee.org/abstract/document/7405235/
11,Deeply coupled auto-encoder networks for cross-view classification,Z Cui et al.,2014,https://arxiv.org/abs/1402.2031
11,Stacked Sparse Autoencoder (SSAE) based framework for nuclei patch classification on breast cancer histopathology,J Xu et al.,2014,http://ieeexplore.ieee.org/abstract/document/6868041/
11,Spectral-spatial classification of hyperspectral image using autoencoders,Z Lin & G Wang,2013,http://ieeexplore.ieee.org/abstract/document/6782778/
11,The importance of long-term memory in infant perceptual categorization,M Mermillod et al.,2003,https://www.researchgate.net/profile/Robert_French/publication/228607693_The_importance_of_long-term_memory_in_infant_perceptual_categorization/links/0fcfd51128b1146f04000000.pdf
10,Missing data estimation using principle component analysis and autoassociative neural networks,FV Nelwamondo & T Marwala,2009,http://www.iiisci.org/journal/CV$/sci/pdfs/KS628XI.pdf
10,Learning Topic Representation for SMT with Neural Networks.,L Cui et al.,2014,http://www.aclweb.org/old_anthology/P/P14/P14-1013.pdf
10,Learning a predictable and generative vector representation for objects,R Girdhar et al.,2016,http://link.springer.com/chapter/10.1007/978-3-319-46466-4_29
10,Auto-encoder based data clustering,Y Huang & L Wang,2013,http://link.springer.com/chapter/10.1007/978-3-642-41822-8_15
10,Random feature subspace ensemble based Extreme Learning Machine for liver tumor detection and segmentation,Z Lin,2014,http://ieeexplore.ieee.org/abstract/document/6944667/
10,Building feature space of extreme learning machine with sparse denoising stacked-autoencoder,W Huang,2016,http://www.sciencedirect.com/science/article/pii/S0925231215011674
10,Autoencoder in time-series analysis for unsupervised tissues characterisation in a large unlabelled medical image dataset,HC Shin et al.,2011,http://ieeexplore.ieee.org/abstract/document/6146980/
10,Efficient online learning of a non-negative sparse autoencoder.,A Lemme et al.,2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.227.730&rep=rep1&type=pdf
10,Self-Organization of Viewpoint Dependent Face Representation by the Self-Supervised Learning and Viewpoint Independent Face Recognition by the Mixture  …,T Kurita & T Takahashi,2000,http://home.hiroshima-u.ac.jp/tkurita/papers/kuritaMVA2000view.pdf
10,An efficient and effective convolutional auto-encoder extreme learning machine network for 3d feature learning,K Xu,2016,http://www.sciencedirect.com/science/article/pii/S0925231215014940
10,An autoencoder neural-network based low-dimensionality approach to excitation modeling for HMM-based text-to-speech,S Vishnubhotla,2010,http://ieeexplore.ieee.org/abstract/document/5495546/
9,Music removal by convolutional denoising autoencoder in speech recognition,,2015,http://ieeexplore.ieee.org/abstract/document/7415289/
9,Convergence suppression and divergence facilitation for pruning multi-output backpropagation networks,,1994,
9,Composite sketch recognition via deep network-a transfer learning approach,P Mittal et al.,2015,http://ieeexplore.ieee.org/abstract/document/7139092/
9,Deep Feature Learning Using Target Priors with Applications in ECoG Signal Decoding for BCI.,S Lyu et al.,2013,http://www.ecse.rpi.edu/~qji/Papers/IJCAI13-264.pdf
9,Multimodal learning for autonomous underwater vehicles from visual and bathymetric data,D Rao et al.,2014,http://ieeexplore.ieee.org/abstract/document/6907413/
9,Training a deep autoencoder or a classifier on MNIST digits,,2014,
9,A winner-take-all method for training sparse convolutional autoencoders,A Makhzani & B Frey,2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.740.3932&rep=rep1&type=pdf
9,Learn to swing up and balance a real pole based on raw visual input data,S Lange & M Riedmiller,2012,http://link.springer.com/chapter/10.1007/978-3-642-34500-5_16
9,Multimodal video classification with stacked contractive autoencoders,,2016,http://www.sciencedirect.com/science/article/pii/S016516841500002X
9,Robust speech recognition in unknown reverberant and noisy conditions,R Hsiao et al.,2015,http://ieeexplore.ieee.org/abstract/document/7404841/
9,The cmu submission for the shared task on language identification in code-switched data,W Ammar & C Dyer,2014,http://www.aclweb.org/anthology/W/W14/W14-39.pdf#page=88
9,Learning deeply coupled autoencoders for smartphone based robust periocular verification,R Raghavendra & C Busch,2016,http://ieeexplore.ieee.org/abstract/document/7532372/
9,"Data space reduction, quality assessment and searching of seismograms: autoencoder networks for waveform data",AP Valentine & J Trampert,2012,http://gji.oxfordjournals.org/content/189/2/1183.short
9,Analyzing noise in autoencoders and deep networks,B Poole & J Sohl-Dickstein,2014,https://arxiv.org/abs/1406.1831
9,A new way to learn acoustic events,N Jaitly & GE Hinton,2011,http://www.cs.toronto.edu/~hinton/absps/capsules_speech.pdf
9,Learning New Semi-Supervised Deep Auto-encoder Features for Statistical Machine Translation.,S Lu,2014,http://www.anthology.aclweb.org/P/P14/P14-1012.pdf
9,Enforcing balance allows local supervised learning in spiking recurrent networks,S Deneve,2015,http://papers.nips.cc/paper/5948-enforcing-balance-allows-local-supervised-learning-in-spiking-recurrent-networks
9,Facial expression recognition and generation using sparse autoencoder,Y Liu & X Hou,2014,http://ieeexplore.ieee.org/abstract/document/7043849/
8,Machine intelligence for energy efficient ships: a big data solution,LP Perera,2016,https://www.researchgate.net/profile/Lokukaluge_Perera/publication/290438979_Machine_Intelligence_for_Energy_Efficient_Ships_A_Big_Data_Solution/links/578cb94508ae59aa66813723.pdf
8,Regularized auto-encoders estimate local statistics,G Alain et al.,2012,http://www.eng.uwaterloo.ca/~jbergstr/files/nips_dl_2012/Paper%2029.pdf
8,Learning temporal transformations from time-lapse videos,Y Zhou & TL Berg,2016,http://link.springer.com/chapter/10.1007/978-3-319-46484-8_16
8,An introduction to deep learning,,2012,http://ieeexplore.ieee.org/abstract/document/6310529/
8,Transformer fault diagnosis based on autoassociative neural networks,S Lima,2011,http://ieeexplore.ieee.org/abstract/document/6082196/
8,Dimension reduction for regression with bottleneck neural networks,,2010,http://link.springer.com/chapter/10.1007/978-3-642-15381-5_5
8,A novel sparse auto-encoder for deep unsupervised learning,X Jiang,2013,http://ieeexplore.ieee.org/abstract/document/6748512/
8,Generative modeling of pseudo-target domain adaptation samples for whispered speech recognition,H Boşil,2015,http://ieeexplore.ieee.org/abstract/document/7178927/
8,Adaptive noise schedule for denoising autoencoder,,2014,http://link.springer.com/chapter/10.1007/978-3-319-12637-1_67
8,Dimensionality reduction and reconstruction of data based on autoencoder network,,2009,
8,USFD at SemEval-2016 Task 6: Any-Target Stance Detection on Twitter with Autoencoders,I Augenstein & A Vlachos,2016,http://anthology.aclweb.org/S/S16/S16-1063.pdf
8,A theory of generative convnet,Y Lu et al.,2016,http://www.jmlr.org/proceedings/papers/v48/xiec16.html
8,Inductive manifold learning using structured support vector machine,,2014,http://www.sciencedirect.com/science/article/pii/S0031320313003099
8,Supervised deep learning with auxiliary networks,J Zhang & Y Mu,2014,http://dl.acm.org/citation.cfm?id=2623618
8,Marginalized stacked denoising autoencoders,M Chen et al.,2012,http://www.academia.edu/download/30756726/120.pdf
8,On accurate and reliable anomaly detection for gas turbine combustors: A deep learning approach,,2015,https://www.phmsociety.org/sites/phmsociety.org/files/phm_submission/2015/phmc_15_025.pdf
8,Using denoising autoencoder for emotion recognition.,R Xia & Y Liu,2013,
8,Dynamic pre-training of deep recurrent neural networks for predicting environmental monitoring data,,2014,http://ieeexplore.ieee.org/abstract/document/7004302/
8,Multilayer feature learning for polarimetric synthetic radar data classification,,2014,http://ieeexplore.ieee.org/abstract/document/6947062/
8,A multilayer neural network for image demosaicking,,2014,http://ieeexplore.ieee.org/abstract/document/7025371/
8,Performance comparison of three types of autoencoder neural networks,C Eswaran,2008,http://ieeexplore.ieee.org/abstract/document/4530478/
8,Deep neural network for halftone image classification based on sparse auto-encoder,E Zhang,2016,http://www.sciencedirect.com/science/article/pii/S0952197616000361
8,A folded neural network autoencoder for dimensionality reduction,J Wang & H He,2012,http://www.sciencedirect.com/science/article/pii/S1877050912007272
8,Properties of independent components of self-motion optical flow,MA Jabri & SY Lee,2000,http://ieeexplore.ieee.org/abstract/document/848643/
7,Multimodal feature learning for gait biometric based human identity recognition,E Hossain & G Chetty,2013,http://link.springer.com/chapter/10.1007/978-3-642-42042-9_89
7,Online signature verification based on feature representation,M Fayyaz & M Sabokrou,2015,http://ieeexplore.ieee.org/abstract/document/7123528/
7,Non-linear PLDA for i-vector speaker verification.,S Novoselov,2015,https://www.researchgate.net/profile/Timur_Pekhovsky/publication/282248418_Non-linear_PLDA_for_i-Vector_Speaker_Verification/links/56093b8908ae576ce63def26.pdf
7,Cutting recursive autoencoder trees,C Scheible,2013,https://arxiv.org/abs/1301.2811
7,Sparse autoencoder,,2011,
7,Uncertainty estimation of DNN classifiers,SH Mallidi,2015,http://ieeexplore.ieee.org/abstract/document/7404806/
7,Collaborative Filtering with Stacked Denoising AutoEncoders and Sparse Inputs,,2015,https://hal.inria.fr/hal-01256422/
7,Speech emotion recognition using a deep autoencoder,EM Albornoz & HL Rufiner,2013,http://fich.unl.edu.ar/sinc/sinc-publications/2013/CAR13/sinc_CAR13.pdf
7,Forecasting the weather of Nevada: A deep learning approach,B Rekabdar & SJ Louis,2015,http://ieeexplore.ieee.org/abstract/document/7280812/
7,Optical Character Recognition for Handwritten Hindi,P Keshri,2010,http://cs229.stanford.edu/proj2010/KhandelwalGoyalKeshri-OpticalCharacterRecognitionforHandwrittenHindi.pdf
7,"Investigation into the use of autoencoder neural networks, principal component analysis and support vector regression in estimating missing HIV data",VN Marivate et al.,2008,http://www.sciencedirect.com/science/article/pii/S1474667016390292
7,Handwritten digit recognition by neural'gas' model and population decoding,H Yan,1998,http://ieeexplore.ieee.org/abstract/document/687117/
7,Hypergraph regularized autoencoder for image-based 3D human pose recovery,X Chen,2016,http://www.sciencedirect.com/science/article/pii/S0165168415003400
7,Linear autoencoder networks for structured data,A Sperduti,2013,http://daselab.cs.wright.edu/nesy/NeSy13/sperduti.pdf
7,SAR automatic target recognition based on a visual cortical system,YL Xu,2013,http://ieeexplore.ieee.org/abstract/document/6745270/
7,Deep learning of multifractal attributes from motor imagery induced EEG,J Li & A Cichocki,2014,http://link.springer.com/chapter/10.1007/978-3-319-12637-1_63
7,Unsupervised feature extraction for multimedia event detection and ranking using audio content,E Amid et al.,2014,http://ieeexplore.ieee.org/abstract/document/6854743/
7,TRACX2: a connectionist autoencoder using graded chunks to model infant visual statistical learning,D Mareschal & RM French,2017,http://rstb.royalsocietypublishing.org/content/372/1711/20160057.abstract
7,The Applications of Deep Learning on Traffic Identification,,2015,http://www.covert.io/research-papers/deep-learning-security/Applications%20of%20Deep%20Learning%20On%20Traffic%20Identification.pdf
7,Deep learning for automatic summary scoring,Y Bengio,2011,http://www.cs.toronto.edu/~akennedy/publications/proceedings_ts11.pdf#page=21
7,Single-channel dereverberation for distant-talking speech recognition by combining denoising autoencoder and temporal structure normalization,L Wang et al.,2016,http://link.springer.com/article/10.1007/s11265-015-1007-3
7,Action recognition using invariant features under unexampled viewing conditions,L Sun & K Aizawa,2013,http://dl.acm.org/citation.cfm?id=2508126
7,Occlusion-free Face Alignment: Deep Regression Networks Coupled with De-corrupt AutoEncoders,J Zhang et al.,2016,http://www.cv-foundation.org/openaccess/content_cvpr_2016/html/Zhang_Occlusion-Free_Face_Alignment_CVPR_2016_paper.html
7,Auto-encoder based dimensionality reduction,,2016,http://www.sciencedirect.com/science/article/pii/S0925231215017671
7,Dynamic background learning through deep auto-encoder networks,M Ye et al.,2014,http://dl.acm.org/citation.cfm?id=2654914
7,Improving the robustness of example-based dialog retrieval using recursive neural network paraphrase identification,L Nio et al.,2014,http://ieeexplore.ieee.org/abstract/document/7078592/
7,Non-linear prediction with LSTM recurrent neural networks for acoustic novelty detection,E Marchi & F Weninger,2015,http://ieeexplore.ieee.org/abstract/document/7280757/
7,Deep autoencoders augmented with phone-class feature for reverberant speech recognition,T Kawahara,2015,http://ieeexplore.ieee.org/abstract/document/7178795/
7,Cost functions for pairwise data clustering,S Stramaglia,2001,http://www.sciencedirect.com/science/article/pii/S0375960101003735
7,Learning a driving simulator,E Santana,2016,https://arxiv.org/abs/1608.01230
7,Detecting double compressed AMR audio using deep learning,J Huang,2014,http://ieeexplore.ieee.org/abstract/document/6854084/
7,Joint Opinion Relation Detection Using One-Class Deep Neural Network.,K Liu,2014,http://ai2-s2-pdfs.s3.amazonaws.com/1623/87512135be6ef84bb54c7ea8fd700983da68.pdf
7,Medical image compression with neural nets,,1995,http://ieeexplore.ieee.org/abstract/document/527758/
7,Learning invariant features through local space contraction,S Rifai et al.,2011,https://arxiv.org/abs/1104.4153
6,On nonparametric guidance for learning autoencoder representations,J Snoek et al.,2012,http://www.jmlr.org/proceedings/papers/v22/snoek12.html
6,Learning a hierarchical representation of the yeast transcriptomic machinery using an autoencoder model,L Chen,2016,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0852-1
6,A comparison of neural network feature transforms for speaker diarization.,SH Yella & A Stolcke,2015,https://pdfs.semanticscholar.org/a0b1/8f411ca7100662c0266b7c156b55e70cfba1.pdf
6,State estimation in distribution smart grids using autoencoders,J Krstulovic,2014,http://ieeexplore.ieee.org/abstract/document/6814454/
6,Bilingual Correspondence Recursive Autoencoder for Statistical Machine Translation.,D Xiong et al.,2015,http://www.aclweb.org/website/old_anthology/D/D15/D15-1146.pdf
6,Combining distances through an auto-encoder network to verify signatures,,2008,http://ieeexplore.ieee.org/abstract/document/4665893/
6,"Capturing, analyzing, and transmitting intangible cultural heritage with the i-Treasures project",A Jaumard-Hakoun & SK Al Kork,2013,https://hal.archives-ouvertes.fr/hal-01136931/
6,Learning motion manifolds with convolutional autoencoders,T Komura,2015,http://dl.acm.org/citation.cfm?id=2820918
6,Recognition of handwritten characters in Chinese legal amounts by stacked autoencoders,M Wang,2014,http://ieeexplore.ieee.org/abstract/document/6977230/
6,The neural support vector machine,MA Wiering,2013,http://repository.tudelft.nl/assets/uuid:d749d434-b443-4f79-8d0c-57528f3501cc/paper_75.pdf
6,Human acoustic fingerprints: A novel biometric modality for mobile security,D Hatzinakos,2014,http://ieeexplore.ieee.org/abstract/document/6854309/
6,Mind the Gap: Machine Translation by Minimizing the Semantic Gap in Embedding Space.,J Zhang et al.,2014,"http://nlpr-web.ia.ac.cn/cip/ZongPublications/2014/2014%20AAAI_Oral,Zhang%20JJ.pdf"
6,Efficient feature coding based on auto-encoder network for image classification,GS Xie & XY Zhang,2014,http://link.springer.com/chapter/10.1007/978-3-319-16865-4_41
6,"Variational autoencoder for deep learning of images, labels and captions",Z Gan et al.,2016,http://papers.nips.cc/paper/6528-variational-autoencoder-for-deep-learning-of-images-labels-and-captions
6,Implementation and evaluation of deep neural networks (dnn) on mainstream heterogeneous systems,J Gu & F Zhang,2014,http://dl.acm.org/citation.cfm?id=2637229
6,Retrieving sounds by vocal imitation recognition,Y Zhang & Z Duan,2015,http://ieeexplore.ieee.org/abstract/document/7324316/
6,Deep complementary bottleneck features for visual speech recognition,S Petridis & M Pantic,2016,http://ieeexplore.ieee.org/abstract/document/7472088/
6,Intention recognition and object recommendation system using deep auto-encoder based affordance model,,2013,http://hai-conference.net/ihai2013/proceedings/pdf/II-1-2.pdf
6,Local visual feature fusion via maximum margin multimodal deep neural network,Q Dai,2016,http://www.sciencedirect.com/science/article/pii/S0925231215015350
6,Stacked denoising autoencoders for face pose normalization,S Choi,2013,http://link.springer.com/chapter/10.1007/978-3-642-42051-1_31
6,Variational Lossy Autoencoder,X Chen et al.,2016,https://arxiv.org/abs/1611.02731
6,Breast density scoring with multiscale denoising autoencoders,M Nielsen,2012,http://stmi12.rutgers.edu/papers/Breast%20Density%20Scoring%20with%20Multiscale%20Denoising%20Autoencoders.pdf
6,Autoencoder trees,O Irsoy & E Alpaydın,2014,http://www.jmlr.org/proceedings/papers/v45/Irsoy15.pdf
6,Facing realism in spontaneous emotion recognition from speech: Feature enhancement by autoencoder with LSTM neural networks,Z Zhang et al.,2016,https://hal.archives-ouvertes.fr/hal-01494003/
6,Learning two-layer contractive encodings,H Schulz & S Behnke,2012,http://www.springerlink.com/index/8660513722487351.pdf
6,A Neural Model of Human Image Categorization.,E Hunsberger et al.,2013,https://pdfs.semanticscholar.org/828b/e8f91e5c66fac77d871d985660f584e6a78e.pdf
6,Stacked denoise autoencoder based feature extraction and classification for hyperspectral images,X Yang,2015,https://www.hindawi.com/journals/js/2016/3632943/abs/
6,Learning feature representations with a cost-relevant sparse autoencoder,M Längkvist & A Loutfi,2015,http://www.worldscientific.com/doi/abs/10.1142/S0129065714500348
6,Learning classifiers from synthetic data using a multichannel autoencoder,X Zhang et al.,2015,https://arxiv.org/abs/1503.03163
6,Denoising autoencoder with modulated lateral connections learns invariant representations of natural images,T Raiko & H Valpola,2014,https://arxiv.org/abs/1412.7210
6,Stacked Denoising Autoencoder for feature representation learning in pose-based action recognition,MI Fanany,2014,http://ieeexplore.ieee.org/abstract/document/7031302/
6,Attention-based multimodal neural machine translation,J Oh & C Dyer,2016,http://www.statmt.org/wmt16/pdf/W16-2360.pdf
6,Feature extraction and pattern recognition for human motion by a deep sparse autoencoder,H Liu & T Taniguchi,2014,http://ieeexplore.ieee.org/abstract/document/6984650/
6,Hyperspectral image unmixing using autoencoder cascade,H Qi,2015,http://aicip.eecs.utk.edu/mediawiki/images/1/12/15whisper-ae-unmixing.pdf
6,Spherical nodes in neural networks with applications,M Kirby,1995,
6,Compression net-free autoencoders,MH Hassoun,1997,http://neuron.eng.wayne.edu/nips97.ps
6,Fast Easy Unsupervised Domain Adaptation with Marginalized Structured Dropout.,Y Yang & J Eisenstein,2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.649.5698&rep=rep1&type=pdf
6,A deep auto-encoder based low-dimensional feature extraction from FFT spectral envelopes for statistical parametric speech synthesis,J Yamagishi,2016,http://ieeexplore.ieee.org/abstract/document/7472736/
6,A deep learning based approach for traffic data imputation,Y Lv,2014,http://ieeexplore.ieee.org/abstract/document/6957805/
6,Autoencoder-based collaborative filtering,W Liu & W Rong,2014,http://link.springer.com/chapter/10.1007/978-3-319-12643-2_35
6,Fault diagnosis method study in roller bearing based on wavelet transform and stacked auto-encoder,,2015,http://ieeexplore.ieee.org/abstract/document/7162738/
6,An autoencoder for clinical and regulatory data processing,,1995,http://dij.sagepub.com/content/29/1/107
6,"Estimating missing data using neural network techniques, principal component analysis and genetic algorithms",FV Nelwamondo & T Marwala,2007,http://www.prasa.org/proceedings/2007/prasa07-04.pdf
6,Encoding transliteration variation through dimensionality reduction: FIRE Shared Task on Transliterated Search,P Gupta et al.,2013,http://www.isical.ac.in/~fire/wn/STTS/2013-translit_search-gupta-tu_valencia.pdf
6,Deep Transform: Error Correction via Probabilistic Re-Synthesis,AJR Simpson,2015,https://arxiv.org/abs/1502.04617
6,Multimodal music mood classification by fusion of audio and lyrics,,2015,http://link.springer.com/chapter/10.1007/978-3-319-14442-9_3
5,Sentiment Analysis Using SemiSupervised Recursive Autoencoders and Support Vector Machines,,2014,https://pdfs.semanticscholar.org/b6bc/9580ee7da1e5b9dbb0dd2961d8a40c3a30db.pdf
5,Generative class-conditional autoencoders,G Taylor,2014,https://arxiv.org/abs/1412.7009
5,On visual detection of highly-occluded objects for harvesting automation in horticulture,I Sa et al.,2015,http://eprints.qut.edu.au/90394/
5,Loop closure detection for visual slam systems using deep neural networks,,2015,http://ieeexplore.ieee.org/abstract/document/7260555/
5,Learning discriminative reconstructions for unsupervised outlier removal,Y Xia et al.,2015,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Xia_Learning_Discriminative_Reconstructions_ICCV_2015_paper.html
5,Learning multi-scale representations for material classification,W Li,2014,http://link.springer.com/chapter/10.1007/978-3-319-11752-2_65
5,Nrc: Infused phrase vectors for named entity recognition in twitter,C Cherry & H Guo,2015,http://anthology.aclweb.org/W/W15/W15-43.pdf#page=66
5,"Technical report: Multidimensional, downsampled convolution for autoencoders",IJ Goodfellow,2010,http://www.iro.umontreal.ca/~lisa/pointeurs/convolution.pdf
5,Lateral connections in denoising autoencoders support supervised learning,H Valpola & T Raiko,2015,https://arxiv.org/abs/1504.08215
5,Extracting deep bottleneck features for visual speech recognition,R Togneri & M Bennamoun,2015,http://ieeexplore.ieee.org/abstract/document/7178224/
5,Damage detection and health monitoring based on vibration measurements and recognition algorithms in real-scale aeronautical structural components,,2003,http://www.scientific.net/KEM.245-246.519.pdf
5,Gender classification in face images based on stacked-autoencoders method,,2014,http://ieeexplore.ieee.org/abstract/document/7003829/
5,Why regularized auto-encoders learn sparse representation?,D Arpit et al.,2016,http://www.jmlr.org/proceedings/papers/v48/arpita16.html
5,Stretching deep architectures for text recognition,G Zhong & Y Chherawala,2015,http://ieeexplore.ieee.org/abstract/document/7333759/
5,Deep learning,,2014,http://130.216.33.163/courses/compsci760s2c/lectures/Pat.d/2015.d/DeepLearning.pdf
5,Attractive or not?: Beauty prediction with attractiveness-aware encoders and robust late fusion,S Wang et al.,2014,http://dl.acm.org/citation.cfm?id=2654986
5,Towards Principled Unsupervised Learning,I Sutskever et al.,2015,https://arxiv.org/abs/1511.06440
5,Using principal component analysis and autoassociative neural networks to estimate missing data in a database,FV Nelwamondo & T Marwala,2008,http://www.iiis.org/CDs2008/CD2008SCI/SCI2008/PapersPdf/S628XI.pdf
5,A system for offline character recognition using auto-encoder networks,S Chakravarthy,2012,http://www.springerlink.com/index/V742546501118565.pdf
5,Deep learning of spatio-temporal features with geometric-based moving point detection for motion segmentation,CC Wang,2014,http://ieeexplore.ieee.org/abstract/document/6907299/
5,Investigation of autoencoder neural network accuracy for computational intelligence methods to estimate missing data,FV Nelwamondo & T Marwala,2008,http://www.actapress.com/Abstract.aspx?paperId=34056
5,Semi-supervised training of a voice conversion mapping function using a joint-autoencoder.,SH Mohammadi & A Kain,2015,https://shamidreza.github.io/papers/is15.pdf
5,Effective insect recognition using a stacked autoencoder with maximum correntropy criterion,GT Cinar et al.,2015,http://ieeexplore.ieee.org/abstract/document/7280418/
5,Embedding with autoencoder regularization,P Luo et al.,2013,http://link.springer.com/chapter/10.1007/978-3-642-40994-3_14
5,Missing sensor data restoration for vibration sensors on a jet aircraft engine,,2003,http://ieeexplore.ieee.org/abstract/document/1224050/
5,Representation learning via semi-supervised autoencoder for multi-task learning,F Zhuang et al.,2015,http://ieeexplore.ieee.org/abstract/document/7373449/
5,Environment-dependent denoising autoencoder for distant-talking speech recognition,L Wang,2015,http://link.springer.com/article/10.1186/s13634-015-0278-y
5,Target classification in oceanographic SAR images with deep neural networks: Architecture and initial results,C Bentes & D Velotto,2015,http://ieeexplore.ieee.org/abstract/document/7326627/
5,An autoencoder with bilingual sparse features for improved statistical machine translation,YC Tam,2014,http://ieeexplore.ieee.org/abstract/document/6854978/
5,A new NMF-Autoencoder based CAD system for early diagnosis of prostate cancer,MA El-Ghar & F Khalifa,2016,http://ieeexplore.ieee.org/abstract/document/7493490/
5,增量深度学习目标跟踪,,2015,http://www.eope.net/gxjmgc/article/2015/2015-4-1161.htm
5,Locality-constrained sparse auto-encoder for image classification,J Yang,2015,http://ieeexplore.ieee.org/abstract/document/6991568/
5,Auto-encoder based bagging architecture for sentiment analysis,W Rong,2014,http://www.sciencedirect.com/science/article/pii/S1045926X14000846
5,Cross-modal Sound Mapping Using Deep Learning.,O Fried & R Fiebrink,2013,http://www.cs.princeton.edu/~fiebrink/publications/FriedFiebrink_NIME2013.pdf
5,Speech Restoration Based on Deep Learning Autoencoder with Layer-wised Pretraining,S Matsuda & C Hori,2012,
5,Feature extraction with stacked autoencoders for epileptic seizure detection,A Supratak & Y Guo,2014,http://ieeexplore.ieee.org/abstract/document/6944546/
5,Deep learning for cerebellar ataxia classification and functional score regression,Z Yang et al.,2014,http://link.springer.com/chapter/10.1007/978-3-319-10581-9_9
5,Bidirectional Helmholtz Machines,J Bornschein et al.,2016,http://www.jmlr.org/proceedings/papers/v48/bornschein16.html
5,"Autoencoder, principal component analysis and support vector regression for data imputation",VN Marivate et al.,2007,https://arxiv.org/abs/0709.2506
5,Hierarchical sparse autoencoder using linear regression-based features in clustering for handwritten digit recognition,NDH Le,2013,http://ieeexplore.ieee.org/abstract/document/6703736/
5,Gaussian processes autoencoder for dimensionality reduction,J Gao & X Hong,2014,http://link.springer.com/chapter/10.1007/978-3-319-06605-9_6
5,Paraphrase detection using recursive autoencoder,,2011,http://www-nlp.stanford.edu/courses/cs224n/2011/reports/ehhuang.pdf
5,Autoencoder based multi-stream combination for noise robust speech recognition.,SHR Mallidi & K Veselý,2015,http://www.fit.vutbr.cz/research/groups/speech/publi/2015/mallidi_interspeech2015_IS150897.pdf
4,Not all signals are created equal: dynamic objective auto-encoder for multivariate data,M Längkvist & A Loutfi,2012,http://aass.oru.se/~mlt/dynauto.pdf
4,Musical audio synthesis using autoencoding neural nets,AM Sarroff & MA Casey,2014,http://www.smc-conference.org/smc-icmc-2014/papers/images/VOL_2/1411.pdf
4,Contrastive auto-encoder for phoneme recognition,Z Wu,2014,http://ieeexplore.ieee.org/abstract/document/6854056/
4,Audio enhancing with DNN autoencoder for speaker recognition,O Plchot et al.,2016,http://ieeexplore.ieee.org/abstract/document/7472647/
4,Deep bottleneck classifiers in supervised dimension reduction,,2010,http://www.springerlink.com/index/P73748P120U78650.pdf
4,A Structured Variational Auto-encoder for Learning Deep Hierarchies of Sparse Features,T Salimans,2016,https://arxiv.org/abs/1602.08734
4,Static hand gesture recognition using stacked denoising sparse autoencoders,V Kumar et al.,2014,http://ieeexplore.ieee.org/abstract/document/6897155/
4,Learning efficient error correcting output codes for large hierarchical multi-class problems,T Artières & P Gallinari,2011,https://www.researchgate.net/profile/Thierry_Artieres/publication/252065077_Learning_efficient_error_correcting_output_codes_for_large_hierarchical_multi-class_problems/links/5422c5e70cf238c6ea6c4546.pdf#page=43
